Date,Adj Close,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
2025-01-14,411.6865234375,415.6700134277344,419.739990234375,410.7200012207031,417.80999755859375,16935900
2025-01-15,422.2245178222656,426.30999755859375,428.1499938964844,418.2699890136719,419.1300048828125,19637800
2025-01-16,420.5110778808594,424.5799865722656,429.489990234375,424.3900146484375,428.70001220703125,15300000
2025-01-17,424.91851806640625,429.0299987792969,434.4800109863281,428.1700134277344,434.0899963378906,26197500
2025-01-21,424.3935241699219,428.5,430.8999938964844,425.6000061035156,430.20001220703125,26085700
2025-01-22,441.9239807128906,446.20001220703125,447.2699890136719,436.0,437.55999755859375,27803800
2025-01-23,442.4289855957031,446.7099914550781,446.75,441.5,442.0,18389300
2025-01-24,439.8044128417969,444.05999755859375,446.6499938964844,441.3999938964844,445.1600036621094,15549500
2025-01-27,430.3954772949219,434.55999755859375,435.20001220703125,423.5,424.010009765625,35647800
2025-01-28,442.9143371582031,447.20001220703125,448.3800048828125,431.3800048828125,434.6000061035156,23491700
2025-01-29,438.0909729003906,442.3299865722656,446.8800048828125,440.3999938964844,446.69000244140625,23581400
2025-01-30,411.0129699707031,414.989990234375,422.8599853515625,413.1600036621094,418.7699890136719,54586300
2025-01-31,411.08233642578125,415.05999755859375,420.69000244140625,414.9100036621094,418.9800109863281,34161900
2025-02-03,406.9820251464844,410.9200134277344,415.4100036621094,408.6600036621094,411.6000061035156,25679100
2025-02-04,408.4180908203125,412.3699951171875,413.9200134277344,409.739990234375,412.69000244140625,20532100
2025-02-05,409.32928466796875,413.2900085449219,413.8299865722656,410.3999938964844,412.3500061035156,16316700
2025-02-06,411.8350830078125,415.82000732421875,418.20001220703125,414.0,414.0,16309800
2025-02-07,405.8232116699219,409.75,418.6499938964844,408.1000061035156,416.4800109863281,22886800
2025-02-10,408.2695617675781,412.2200012207031,415.4599914550781,410.9200134277344,413.7099914550781,20817900
2025-02-11,407.4970397949219,411.44000244140625,412.489990234375,409.29998779296875,409.6400146484375,18140600
2025-02-12,405.1200256347656,409.0400085449219,410.75,404.3699951171875,407.2099914550781,19121700
2025-02-13,406.60565185546875,410.5400085449219,411.0,406.3599853515625,407.0,23891700
2025-02-14,404.515869140625,408.42999267578125,408.9100036621094,405.8800048828125,407.7900085449219,22758500
