Datetime,Adj Close,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
2026-03-25 08:00:00+00:00,253.32,253.32,253.34,253.3,253.3,0
2026-03-25 08:01:00+00:00,253.28,253.28,253.28,253.27,253.27,0
2026-03-25 08:02:00+00:00,253.38,253.38,253.38,253.27,253.27,0
2026-03-25 08:03:00+00:00,253.4,253.4,253.4,253.3,253.3,0
2026-03-25 08:05:00+00:00,253.55,253.55,253.55,253.43,253.43,0
2026-03-25 08:06:00+00:00,253.88,253.88,253.88,253.67,253.67,0
2026-03-25 08:08:00+00:00,253.7,253.7,253.75,253.7,253.75,0
2026-03-25 08:09:00+00:00,253.61,253.61,253.69,253.61,253.67,0
2026-03-25 08:11:00+00:00,253.78,253.78,253.8,253.77,253.77,0
2026-03-25 08:12:00+00:00,253.78,253.78,253.78,253.78,253.78,0
2026-03-25 08:13:00+00:00,253.69,253.69,253.76,253.69,253.76,0
2026-03-25 08:14:00+00:00,253.76,253.76,253.76,253.71,253.71,0
2026-03-25 08:15:00+00:00,254.0,254.0,254.0,253.77,253.77,0
2026-03-25 08:16:00+00:00,254.22,254.22,254.26,253.97,253.97,0
2026-03-25 08:18:00+00:00,254.22,254.22,254.25,254.2,254.24,0
2026-03-25 08:19:00+00:00,254.3,254.3,254.3,254.2,254.2,0
2026-03-25 08:20:00+00:00,254.14,254.14,254.14,254.14,254.14,0
2026-03-25 08:21:00+00:00,254.22,254.22,254.22,254.2,254.2,0
2026-03-25 08:22:00+00:00,254.28,254.28,254.28,254.2,254.25,0
2026-03-25 08:23:00+00:00,254.19,254.19,254.19,254.19,254.19,0
2026-03-25 08:24:00+00:00,254.22,254.22,254.22,254.22,254.22,0
2026-03-25 08:25:00+00:00,254.03,254.03,254.04,254.03,254.03,0
2026-03-25 08:28:00+00:00,254.2,254.2,254.2,254.2,254.2,0
2026-03-25 08:29:00+00:00,254.03,254.03,254.19,254.03,254.19,0
2026-03-25 08:30:00+00:00,254.05,254.05,254.05,254.05,254.05,0
