Date,Adj Close,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
2025-01-14,232.01258850097656,233.27999877929688,236.1199951171875,232.47000122070312,234.75,39435300
2025-01-15,236.57765197753906,237.8699951171875,238.9600067138672,234.42999267578125,234.63999938964844,39832000
2025-01-16,227.0198516845703,228.25999450683594,238.00999450683594,228.02999877929688,237.35000610351562,71759100
2025-01-17,228.7305145263672,229.97999572753906,232.2899932861328,228.47999572753906,232.1199951171875,68488300
2025-01-21,221.43040466308594,222.63999938964844,224.4199981689453,219.3800048828125,224.0,98070400
2025-01-22,222.61392211914062,223.8300018310547,224.1199951171875,219.7899932861328,219.7899932861328,64126500
2025-01-23,222.44485473632812,223.66000366210938,227.02999877929688,222.3000030517578,224.74000549316406,60234800
2025-01-24,221.5696258544922,222.77999877929688,225.6300048828125,221.41000366210938,224.77999877929688,54697900
2025-01-27,228.61117553710938,229.86000061035156,232.14999389648438,223.97999572753906,224.02000427246094,94863400
2025-01-28,236.9655303955078,238.25999450683594,240.19000244140625,230.80999755859375,230.85000610351562,75707600
2025-01-29,238.05953979492188,239.36000061035156,239.86000061035156,234.00999450683594,234.1199951171875,45486100
2025-01-30,236.29916381835938,237.58999633789062,240.7899932861328,237.2100067138672,238.6699981689453,55658300
2025-01-31,234.71778869628906,236.0,247.19000244140625,233.44000244140625,247.19000244140625,100959800
2025-02-03,226.77120971679688,228.00999450683594,231.8300018310547,225.6999969482422,229.99000549316406,73063300
2025-02-04,231.53518676757812,232.8000030517578,233.1300048828125,226.64999389648438,227.25,45067300
2025-02-05,231.2069854736328,232.47000122070312,232.6699981689453,228.27000427246094,228.52999877929688,39620300
2025-02-06,231.9529266357422,233.22000122070312,233.8000030517578,230.42999267578125,231.2899932861328,29925300
2025-02-07,226.39329528808594,227.6300048828125,234.0,227.25999450683594,232.60000610351562,39707200
2025-02-10,226.662109375,227.64999389648438,230.58999633789062,227.1999969482422,229.57000732421875,33115600
2025-02-11,231.61053466796875,232.6199951171875,235.22999572753906,228.1300048828125,228.1999969482422,53718400
2025-02-12,235.84210205078125,236.8699951171875,236.9600067138672,230.67999267578125,231.1999969482422,45243300
2025-02-13,240.4818878173828,241.52999877929688,242.33999633789062,235.57000732421875,236.91000366210938,53614100
2025-02-14,243.53855895996094,244.60000610351562,245.5500030517578,240.99000549316406,241.25,40896200
2025-02-18,243.4091033935547,244.47000122070312,245.17999267578125,241.83999633789062,244.14999389648438,48822500
2025-02-19,243.807373046875,244.8699951171875,246.00999450683594,243.16000366210938,244.66000366210938,32204200
2025-02-20,244.76321411132812,245.8300018310547,246.77999877929688,244.2899932861328,244.94000244140625,32316900
2025-02-21,244.48443603515625,245.5500030517578,248.69000244140625,245.22000122070312,245.9499969482422,53197400
2025-02-24,246.0277099609375,247.10000610351562,248.86000061035156,244.4199981689453,244.92999267578125,51326400
2025-02-25,245.96795654296875,247.0399932861328,250.0,244.91000366210938,248.0,48013300
2025-02-26,239.31695556640625,240.36000061035156,244.97999572753906,239.1300048828125,244.3300018310547,44433600
2025-02-27,236.27024841308594,237.3000030517578,242.4600067138672,237.05999755859375,239.41000366210938,41153600
2025-02-28,240.79052734375,241.83999633789062,242.08999633789062,230.1999969482422,236.9499969482422,56833400
2025-03-03,236.9970703125,238.02999877929688,244.02999877929688,236.11000061035156,241.7899932861328,47184000
2025-03-04,234.9061737060547,235.92999267578125,240.07000732421875,234.67999267578125,237.7100067138672,53798100
2025-03-05,234.7169952392578,235.74000549316406,236.5500030517578,229.22999572753906,235.4199981689453,47227600
2025-03-06,234.30877685546875,235.3300018310547,237.86000061035156,233.16000366210938,234.44000244140625,45170400
2025-03-07,238.03256225585938,239.07000732421875,241.3699951171875,234.75999450683594,235.11000061035156,46273600
2025-03-10,226.4928436279297,227.47999572753906,236.16000366210938,224.22000122070312,235.5399932861328,72071200
2025-03-11,219.88165283203125,220.83999633789062,225.83999633789062,217.4499969482422,223.80999755859375,76137400
2025-03-12,216.03842163085938,216.97999572753906,221.75,214.91000366210938,220.13999938964844,62547500
2025-03-13,208.77008056640625,209.67999267578125,216.83999633789062,208.4199981689453,215.9499969482422,61368300
2025-03-14,212.5635528564453,213.49000549316406,213.9499969482422,209.5800018310547,211.25,60107600
2025-03-17,213.07135009765625,214.0,215.22000122070312,209.97000122070312,213.30999755859375,48073400
2025-03-18,211.76702880859375,212.69000244140625,215.14999389648438,211.49000549316406,214.16000366210938,42432400
2025-03-19,214.30596923828125,215.24000549316406,218.75999450683594,213.75,214.22000122070312,54385400
2025-03-20,213.17091369628906,214.10000610351562,217.49000549316406,212.22000122070312,213.99000549316406,48862900
2025-03-21,217.3228302001953,218.27000427246094,218.83999633789062,211.27999877929688,211.55999755859375,94127800
2025-03-24,219.77215576171875,220.72999572753906,221.47999572753906,218.5800018310547,221.0,44299500
2025-03-25,222.77903747558594,223.75,224.10000610351562,220.0800018310547,220.77000427246094,34493600
2025-03-26,220.56866455078125,221.52999877929688,225.02000427246094,220.47000122070312,223.50999450683594,34466100
2025-03-27,222.8786163330078,223.85000610351562,224.99000549316406,220.55999755859375,221.38999938964844,37094800
2025-03-28,216.95440673828125,217.89999389648438,223.80999755859375,217.67999267578125,221.6699981689453,39818600
2025-03-31,221.16607666015625,222.1300048828125,225.6199951171875,216.22999572753906,217.00999450683594,65299300
2025-04-01,222.22146606445312,223.19000244140625,223.67999267578125,218.89999389648438,219.80999755859375,36412700
2025-04-02,222.9184112548828,223.88999938964844,225.19000244140625,221.02000427246094,221.32000732421875,35905900
2025-04-03,202.30824279785156,203.19000244140625,207.49000549316406,201.25,205.5399932861328,103419000
2025-04-04,187.56253051757812,188.3800048828125,199.8800048828125,187.33999633789062,193.88999938964844,125910900
2025-04-07,180.6725616455078,181.4600067138672,194.14999389648438,174.6199951171875,177.1999969482422,160466300
2025-04-08,171.67178344726562,172.4199981689453,190.33999633789062,169.2100067138672,186.6999969482422,120859500
2025-04-09,197.98709106445312,198.85000610351562,200.61000061035156,171.88999938964844,171.9499969482422,184395900
2025-04-10,189.5936737060547,190.4199981689453,194.77999877929688,183.0,189.07000732421875,121880000
2025-04-11,197.2901153564453,198.14999389648438,199.5399932861328,186.05999755859375,186.10000610351562,87435900
2025-04-14,201.6411590576172,202.52000427246094,212.94000244140625,201.16000366210938,211.44000244140625,101352900
2025-04-15,201.26280212402344,202.13999938964844,203.50999450683594,199.8000030517578,201.86000061035156,51343900
2025-04-16,193.42697143554688,194.27000427246094,200.6999969482422,192.3699951171875,198.36000061035156,59732400
2025-04-17,196.12521362304688,196.97999572753906,198.8300018310547,194.4199981689453,197.1999969482422,52164700
2025-04-21,192.32179260253906,193.16000366210938,193.8000030517578,189.80999755859375,193.27000427246094,46742500
2025-04-22,198.8732452392578,199.74000549316406,201.58999633789062,195.97000122070312,196.1199951171875,52976400
2025-04-23,203.71214294433594,204.60000610351562,208.0,202.8000030517578,206.0,52929200
2025-04-24,207.46575927734375,208.3699951171875,208.8300018310547,202.94000244140625,204.88999938964844,47311000
2025-04-25,208.371826171875,209.27999877929688,209.75,206.1999969482422,206.3699951171875,38222300
2025-04-28,209.2281036376953,210.13999938964844,211.5,207.4600067138672,210.0,38743100
2025-04-29,210.29344177246094,211.2100067138672,212.24000549316406,208.3699951171875,208.69000244140625,36827600
2025-04-30,211.57785034179688,212.5,213.5800018310547,206.6699981689453,209.3000030517578,52286500
2025-05-01,212.39431762695312,213.32000732421875,214.55999755859375,208.89999389648438,209.0800018310547,57365700
2025-05-02,204.45889282226562,205.35000610351562,206.99000549316406,202.16000366210938,206.08999633789062,101010600
2025-05-05,198.02691650390625,198.88999938964844,204.10000610351562,198.2100067138672,203.10000610351562,69018500
2025-05-06,197.6485595703125,198.50999450683594,200.64999389648438,197.02000427246094,198.2100067138672,51216500
2025-05-07,195.39837646484375,196.25,199.44000244140625,193.25,199.1699981689453,68536700
2025-05-08,196.63299560546875,197.49000549316406,200.0500030517578,194.67999267578125,197.72000122070312,50478900
2025-05-09,197.66847229003906,198.52999877929688,200.5399932861328,197.5399932861328,199.0,36453900
2025-05-12,210.15049743652344,210.7899932861328,211.27000427246094,206.75,210.97000122070312,63775800
2025-05-13,212.28399658203125,212.92999267578125,213.39999389648438,209.0,210.42999267578125,51909300
2025-05-14,211.68580627441406,212.3300018310547,213.94000244140625,210.5800018310547,212.42999267578125,49325800
2025-05-15,210.80848693847656,211.4499969482422,212.9600067138672,209.5399932861328,210.9499969482422,45029500
2025-05-16,210.6190643310547,211.25999450683594,212.57000732421875,209.77000427246094,212.36000061035156,54737900
2025-05-19,208.14659118652344,208.77999877929688,209.47999572753906,204.25999450683594,207.91000366210938,46140500
2025-05-20,206.232421875,206.86000061035156,208.47000122070312,205.02999877929688,207.6699981689453,42496600
2025-05-21,201.47689819335938,202.08999633789062,207.0399932861328,200.7100067138672,205.1699981689453,59211800
2025-05-22,200.74911499023438,201.36000061035156,202.75,199.6999969482422,200.7100067138672,46742400
2025-05-23,194.67758178710938,195.27000427246094,197.6999969482422,193.4600067138672,193.6699981689453,78432900
