Datetime,Adj Close,Close,High,Low,Open,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
2026-03-25 08:00:00+00:00,374.73,374.73,375.01,374.7,375.01,0
2026-03-25 08:01:00+00:00,374.52,374.52,374.77,374.52,374.67,0
2026-03-25 08:02:00+00:00,374.67,374.67,374.71,374.65,374.65,0
2026-03-25 08:03:00+00:00,375.09,375.09,375.09,374.82,374.82,0
2026-03-25 08:04:00+00:00,375.47,375.47,375.5,375.2,375.2,0
2026-03-25 08:05:00+00:00,375.7,375.7,375.7,375.43,375.48,0
2026-03-25 08:06:00+00:00,376.35,376.35,376.35,375.7,375.7,0
2026-03-25 08:07:00+00:00,376.21,376.21,376.21,376.09,376.18,0
2026-03-25 08:08:00+00:00,376.0,376.0,376.24,376.0,376.24,0
2026-03-25 08:09:00+00:00,375.93,375.93,376.15,375.93,376.09,0
2026-03-25 08:10:00+00:00,376.2,376.2,376.25,376.0,376.05,0
2026-03-25 08:11:00+00:00,376.1,376.1,376.1,376.02,376.07,0
2026-03-25 08:12:00+00:00,375.99,375.99,376.09,375.97,376.09,0
2026-03-25 08:13:00+00:00,376.25,376.25,376.25,376.0,376.0,0
2026-03-25 08:14:00+00:00,376.47,376.47,376.47,376.18,376.18,0
2026-03-25 08:15:00+00:00,376.6,376.6,376.6,376.36,376.41,0
2026-03-25 08:16:00+00:00,376.59,376.59,376.59,376.49,376.59,0
2026-03-25 08:17:00+00:00,376.48,376.48,376.6,376.44,376.56,0
2026-03-25 08:18:00+00:00,376.53,376.53,376.53,376.5,376.5,0
2026-03-25 08:19:00+00:00,376.72,376.72,376.73,376.53,376.53,0
2026-03-25 08:20:00+00:00,376.66,376.66,376.75,376.66,376.75,0
2026-03-25 08:21:00+00:00,377.16,377.16,377.3,376.74,376.74,0
2026-03-25 08:22:00+00:00,377.11,377.11,377.16,377.0,377.1,0
2026-03-25 08:23:00+00:00,376.85,376.85,377.0,376.85,377.0,0
2026-03-25 08:24:00+00:00,376.96,376.96,376.96,376.85,376.85,0
2026-03-25 08:25:00+00:00,376.99,376.99,377.0,376.99,376.99,0
2026-03-25 08:26:00+00:00,376.75,376.75,376.95,376.7,376.95,0
2026-03-25 08:27:00+00:00,376.7,376.7,376.78,376.67,376.74,0
2026-03-25 08:28:00+00:00,376.49,376.49,376.79,376.49,376.7,0
2026-03-25 08:29:00+00:00,376.56,376.56,376.56,376.49,376.49,0
2026-03-25 08:30:00+00:00,376.56,376.56,376.56,376.53,376.56,0
2026-03-25 08:31:00+00:00,376.84,376.84,376.84,376.6,376.61,0
2026-03-25 08:32:00+00:00,376.98,376.98,377.0,376.77,376.92,0
2026-03-25 08:33:00+00:00,377.15,377.15,377.15,376.98,376.98,0
2026-03-25 08:34:00+00:00,377.01,377.01,377.15,377.01,377.13,0
2026-03-25 08:35:00+00:00,376.8,376.8,376.94,376.71,376.84,0
2026-03-25 08:36:00+00:00,376.33,376.33,376.8,376.33,376.8,0
2026-03-25 08:37:00+00:00,376.53,376.53,376.69,376.53,376.59,0
2026-03-25 08:38:00+00:00,376.69,376.69,376.69,376.45,376.54,0
2026-03-25 08:39:00+00:00,376.45,376.45,376.58,376.44,376.57,0
2026-03-25 08:40:00+00:00,376.55,376.55,376.55,376.55,376.55,0
2026-03-25 08:41:00+00:00,376.76,376.76,376.76,376.55,376.55,0
2026-03-25 08:42:00+00:00,376.8,376.8,376.94,376.8,376.84,0
2026-03-25 08:43:00+00:00,376.74,376.74,376.75,376.7,376.7,0
2026-03-25 08:44:00+00:00,376.72,376.72,376.8,376.72,376.79,0
2026-03-25 08:45:00+00:00,376.6,376.6,376.66,376.53,376.66,0
2026-03-25 08:46:00+00:00,376.72,376.72,376.72,376.53,376.53,0
2026-03-25 08:47:00+00:00,376.66,376.66,376.7,376.6,376.68,0
2026-03-25 08:48:00+00:00,376.5,376.5,376.68,376.5,376.67,0
2026-03-25 08:49:00+00:00,376.4,376.4,376.52,376.4,376.5,0
2026-03-25 08:50:00+00:00,376.34,376.34,376.34,376.34,376.34,0
2026-03-25 08:51:00+00:00,376.41,376.41,376.41,376.27,376.29,0
2026-03-25 08:52:00+00:00,376.35,376.35,376.53,376.35,376.46,0
2026-03-25 08:53:00+00:00,376.31,376.31,376.35,376.1,376.35,0
2026-03-25 08:54:00+00:00,375.8,375.8,376.25,375.8,376.25,0
2026-03-25 08:55:00+00:00,376.02,376.02,376.04,375.81,375.85,0
2026-03-25 08:56:00+00:00,376.01,376.01,376.29,376.01,376.1,0
2026-03-25 08:57:00+00:00,375.83,375.83,375.96,375.72,375.81,0
2026-03-25 08:58:00+00:00,376.27,376.27,376.27,375.94,375.98,0
2026-03-25 08:59:00+00:00,376.2,376.2,376.23,376.2,376.23,0
2026-03-25 09:00:00+00:00,376.15,376.15,376.25,375.98,376.2,0
2026-03-25 09:01:00+00:00,375.89,375.89,375.98,375.89,375.98,0
2026-03-25 09:02:00+00:00,376.33,376.33,376.33,376.29,376.29,0
2026-03-25 09:03:00+00:00,376.23,376.23,376.33,376.23,376.33,0
2026-03-25 09:04:00+00:00,376.32,376.32,376.32,376.23,376.23,0
2026-03-25 09:05:00+00:00,376.56,376.56,376.56,376.41,376.41,0
2026-03-25 09:06:00+00:00,376.5,376.5,376.54,376.46,376.54,0
2026-03-25 09:07:00+00:00,376.27,376.27,376.4,376.22,376.4,0
2026-03-25 09:08:00+00:00,376.18,376.18,376.35,376.15,376.35,0
2026-03-25 09:09:00+00:00,376.1,376.1,376.16,376.1,376.16,0
2026-03-25 09:10:00+00:00,376.11,376.11,376.25,376.11,376.25,0
2026-03-25 09:11:00+00:00,376.38,376.38,376.38,376.38,376.38,0
2026-03-25 09:12:00+00:00,376.51,376.51,376.51,376.47,376.47,0
2026-03-25 09:13:00+00:00,376.5,376.5,376.5,376.5,376.5,0
2026-03-25 09:14:00+00:00,376.6,376.6,376.6,376.53,376.53,0
2026-03-25 09:15:00+00:00,376.51,376.51,376.51,376.51,376.51,0
2026-03-25 09:16:00+00:00,376.52,376.52,376.53,376.51,376.53,0
2026-03-25 09:17:00+00:00,376.5,376.5,376.65,376.5,376.65,0
2026-03-25 09:18:00+00:00,376.5,376.5,376.5,376.5,376.5,0
2026-03-25 09:19:00+00:00,376.45,376.45,376.58,376.45,376.58,0
